finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id
2,4,HAPPY CONTENDER,T363,O Doleuze,R Gibson,125,1134,10,NOSE,10,10,9,2,1.41.31,11,NA,NA,2016-016
3,7,HAPPY SPIRIT,V008,K C Ng,A S Cruz,116,1092,12,1-1/4,2,2,2,3,1.41.49,7.3,NA,NA,2016-016
4,5,CHATER LEGEND,T151,D Whyte,D E Ferraris,122,1045,4,1-1/2,6,6,7,4,1.41.55,7.4,NA,NA,2016-016
5,10,LUCKY HAMMER,P417,Y T Cheng,Y S Tsui,117,1080,6,2-1/2,1,1,1,5,1.41.71,18,NA,NA,2016-016
6,6,LOTUS STRIKES BACK,T145,Z Purton,J Moore,122,1035,5,2-1/2,7,7,6,6,1.41.73,14,NA,NA,2016-016
7,1,JOLLY GENE,T146,M Chadwick,A S Cruz,133,1092,7,2-3/4,5,3,3,7,1.41.74,61,NA,NA,2016-016
8,11,TOWERING STORM,M401,M L Yeung,P F Yiu,114,1077,9,3,12,11,11,8,1.41.81,72,NA,NA,2016-016
9,2,KING OF MONGOLIA,S414,J Moreira,C S Shum,131,1122,1,3-1/2,3,4,5,9,1.41.86,2.4,NA,NA,2016-016
10,12,REGENCY KING,N040,T H So,W Y So,113,1177,8,3-1/2,11,12,12,10,1.41.87,30,NA,NA,2016-016
11,3,GOLDEN SLEEP,T117,K Teetan,A T Millard,129,1157,11,3-3/4,8,8,8,11,1.41.89,15,NA,NA,2016-016
12,8,VANILLA,P439,C Y Ho,C Fownes,119,1080,2,4,9,9,10,12,1.41.96,41,NA,NA,2016-016
1,8,HANG'S DECISION,T262,Z Purton,W Y So,122,1085,2,-,6,6,1,NA,1.10.70,3.3,NA,NA,2016-017
2,9,LUCKY PROFIT,S335,J Moreira,C S Shum,120,1137,1,1,3,4,2,NA,1.10.85,2.4,NA,NA,2016-017
3,10,I'M A WITNESS,T405,M Chadwick,A S Cruz,119,1082,3,2-1/4,1,1,3,NA,1.11.07,8,NA,NA,2016-017
4,3,HAPPY BAO BEI,S172,B Prebble,Y S Tsui,130,1152,8,3,2,2,4,NA,1.11.18,14,NA,NA,2016-017
5,2,FLYING TOURBILLON,T051,M L Yeung,P F Yiu,129,1123,11,3-1/2,7,8,5,NA,1.11.28,15,NA,NA,2016-017
6,1,FANTASTIC FEELING,T273,D Whyte,D E Ferraris,133,1197,10,3-3/4,10,9,6,NA,1.11.30,25,NA,NA,2016-017
7,4,GRACE HEART,S399,O Doleuze,C Fownes,129,1003,4,4,4,3,7,NA,1.11.35,13,NA,NA,2016-017
8,7,RAINBOW FIGHTER,N193,K K Chiong,D Cruz,119,1057,7,5-1/4,8,7,8,NA,1.11.54,28,NA,NA,2016-017
9,5,THE SHOW,T256,T H So,C H Yip,127,1087,6,5-3/4,5,5,9,NA,1.11.62,53,NA,NA,2016-017
10,11,SUNNY WIN,V254,K C Leung,L Ho,117,1216,12,6,11,12,10,NA,1.11.67,99,NA,NA,2016-017
11,12,MIDNITE PROMISE,S379,K C Ng,T K Ng,113,1026,9,7,9,11,11,NA,1.11.80,99,NA,NA,2016-017
12,6,FIVE UP HIGH,S276,K Teetan,A T Millard,126,1098,5,7-1/2,12,10,12,NA,1.11.89,12,NA,NA,2016-017
1,12,BLOCKER DEE,T374,K Teetan,C Fownes,117,1234,10,-,9,8,1,NA,1.09.95,6.5,NA,NA,2016-018
2,4,MR BOGART,V253,J Moreira,J Moore,124,1249,3,1/2,5,4,2,NA,1.10.05,2,NA,NA,2016-018
3,10,BULLISH SMART,S221,M Chadwick,A S Cruz,118,1099,4,2-3/4,4,5,3,NA,1.10.40,18,NA,NA,2016-018
4,11,HAMMER KING,V034,K C Leung,P F Yiu,116,1189,6,3-1/4,6,6,4,NA,1.10.47,9.7,NA,NA,2016-018
5,3,CHARITY JOY,P278,K K Chiong,C S Shum,119,1140,7,4-1/4,11,11,5,NA,1.10.63,19,NA,NA,2016-018
6,8,MAJESTIC ANTHEM,P238,T H So,D J Hall,117,1064,5,4-1/4,10,10,6,NA,1.10.64,39,NA,NA,2016-018
7,6,HIGH FIVE,T200,D Whyte,A T Millard,120,1052,2,5-1/4,8,9,7,NA,1.10.80,7.6,NA,NA,2016-018
8,5,ALMABABY,V057,Y T Cheng,Y S Tsui,123,1131,9,5-3/4,3,3,8,NA,1.10.86,12,NA,NA,2016-018
9,9,RIGHTEOUS,S128,M L Yeung,T P Yung,117,1116,8,6-1/2,2,2,9,NA,1.11.00,32,NA,NA,2016-018
10,2,TRAVEL RENYI,S394,N Callan,R Gibson,127,1067,1,7,7,7,10,NA,1.11.08,14,NA,NA,2016-018
11,1,PABLOSKY,S156,S Clipperton,J Moore,133,1142,12,9,12,12,11,NA,1.11.39,99,NA,NA,2016-018
12,7,HELLA HEDGE,P355,H N Wong,K W Lui,112,1084,11,9-3/4,1,1,12,NA,1.11.50,99,NA,NA,2016-018
1,6,ACE KING,T331,S Clipperton,L Ho,129,1133,13,-,1,2,1,NA,0.57.36,6.4,NA,NA,2016-019
2,11,PERFECT SMART,S413,O Doleuze,C W Chang,123,1061,3,3-1/2,8,3,2,NA,0.57.92,12,NA,NA,2016-019
3,2,SHOWING CHARACTER,T289,B Prebble,D E Ferraris,133,1091,4,4-3/4,9,4,3,NA,0.58.10,6.3,NA,NA,2016-019
4,9,LEAN JOURNEY,S389,Z Purton,C H Yip,124,1081,2,5,14,11,4,NA,0.58.15,3.6,NA,NA,2016-019
5,14,NOBLE BUDDIES,T356,M L Yeung,A Lee,115,1172,8,5-1/4,11,5,5,NA,0.58.19,23,NA,NA,2016-019
6,4,RICCO RICCO,V085,D Whyte,Y S Tsui,132,1072,10,5-1/2,10,10,6,NA,0.58.24,6.6,NA,NA,2016-019
7,12,HEARTILY WINS,P424,T H So,D E Ferraris,117,1108,1,5-1/2,13,12,7,NA,0.58.26,59,NA,NA,2016-019
8,3,KING'S STEED,S051,K C Ng,T K Ng,127,1183,7,5-3/4,2,6,8,NA,0.58.29,46,NA,NA,2016-019
9,5,SEA WARRIOR,P411,N Rawiller,W Y So,130,1105,14,6-3/4,4,9,9,NA,0.58.45,7.4,NA,NA,2016-019
10,10,MIGHTY GAINS,P260,H N Wong,K L Man,116,1115,6,10-1/4,6,7,10,NA,0.58.98,43,NA,NA,2016-019
11,8,ALL TOGETHER,T420,H W Lai,A Lee,126,1094,5,12-3/4,5,1,11,NA,0.59.39,29,NA,NA,2016-019
12,7,STORM KID,S338,Y T Cheng,T K Ng,129,1140,9,13,12,14,12,NA,0.59.44,95,NA,NA,2016-019
13,13,THUNDERSTROKE,T067,M Chadwick,C W Chang,119,1214,12,14,7,13,13,NA,0.59.60,14,NA,NA,2016-019
14,1,FAST ROCKET,V064,J Moreira,A T Millard,133,1142,11,16,3,8,14,NA,0.59.92,27,NA,NA,2016-019
